Q00_Identification,Q01_AI Perception 1,Q02_AI Perception 2,Q03_AI Representation 1,Q04_AI Representation 2,Q05_AI Conceptual,Q06_AI Conceptual 2,Q07_AI Interaction 1,Q08_AI Interaction 2,Q09_AI Societal Impact 1,Q10_AI Societal Impact 2
Kz,2 : Disagree,5 : Strongly agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,1 : Strongly disagree,1 : Strongly disagree,5 : Strongly agree,5 : Strongly agree,5 : Strongly agree
nrjha16,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,4 : Agree,2 : Disagree,5 : Strongly agree,2 : Disagree,4 : Agree
hkjov08,1 : Strongly disagree,4 : Agree,5 : Strongly agree,5 : Strongly agree,1 : Strongly disagree,1 : Strongly disagree,2 : Disagree,4 : Agree,1 : Strongly disagree,5 : Strongly agree
srllj21,4 : Agree,3 : Not sure,1 : Strongly disagree,4 : Agree,4 : Agree,2 : Disagree,2 : Disagree,5 : Strongly agree,2 : Disagree,4 : Agree
kntng08,5 : Strongly agree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,5 : Strongly agree,4 : Agree,5 : Strongly agree,3 : Not sure,4 : Agree
Alan,3 : Not sure,3 : Not sure,3 : Not sure,3 : Not sure,4 : Agree,5 : Strongly agree,4 : Agree,5 : Strongly agree,4 : Agree,5 : Strongly agree
bdied13,2 : Disagree,4 : Agree,2 : Disagree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,1 : Strongly disagree,4 : Agree,1 : Strongly disagree,5 : Strongly agree
adlij15,2 : Disagree,4 : Agree,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree,1 : Strongly disagree,4 : Agree,2 : Disagree,5 : Strongly agree
lnsgk12,3 : Not sure,4 : Agree,2 : Disagree,2 : Disagree,2 : Disagree,2 : Disagree,1 : Strongly disagree,5 : Strongly agree,2 : Disagree,4 : Agree
,1 : Strongly disagree,4 : Agree,4 : Agree,5 : Strongly agree,1 : Strongly disagree,2 : Disagree,2 : Disagree,4 : Agree,2 : Disagree,2 : Disagree
