id,ses_parent1_edu,ses_parent2_edu,ses_household_income,ses_school_type,ses_housing_type,ses_household_size,ses_home_area,ses_device_access,ses_internet_quality,ses_lang_cantonese,ses_lang_mandarin,ses_lang_english,ses_lang_other,ses_financial_constraint,ai_course_taken,ai_concept_data_bias_r,ai_ability_training_data,ai_concept_blackbox_r,ai_ability_explainability,ai_concept_input_variation_r,ai_ability_input_sensitivity,ai_concept_prompt_wording_r,ai_ability_prompting,ai_concept_social_ethics_r,ai_ability_social_ethics,med_conceptual_exposure_1,med_conceptual_exposure_2,med_practical_ai_use_1,med_practical_ai_use_2,med_learning_ecology_1,med_learning_ecology_2,med_language_load_1,med_language_load_2,med_epistemic_stance_1,med_epistemic_stance_2,course,ses_parent1_edu_num,ses_parent2_edu_num,ses_household_income_num,ses_school_type_num,ses_housing_type_num,ses_household_size_num,ses_home_area_num,ses_device_access_num,ses_internet_quality_num,ses_financial_constraint_num,ai_course_taken_num,ai_concept_data_bias_r_num,ai_ability_training_data_num,ai_concept_blackbox_r_num,ai_ability_explainability_num,ai_concept_input_variation_r_num,ai_ability_input_sensitivity_num,ai_concept_prompt_wording_r_num,ai_ability_prompting_num,ai_concept_social_ethics_r_num,ai_ability_social_ethics_num,med_conceptual_exposure_1_num,med_conceptual_exposure_2_num,med_practical_ai_use_1_num,med_practical_ai_use_2_num,med_learning_ecology_1_num,med_learning_ecology_2_num,med_language_load_1_num,med_language_load_2_num,med_epistemic_stance_1_num,med_epistemic_stance_2_num,ai_concept_data_bias_scored_num,ai_concept_blackbox_scored_num,ai_concept_input_variation_scored_num,ai_concept_prompt_wording_scored_num,ai_concept_social_ethics_scored_num,ai_ability_training_data_scored_num,ai_ability_explainability_scored_num,ai_ability_input_sensitivity_scored_num,ai_ability_prompting_scored_num,ai_ability_social_ethics_scored_num,ai_lit_score,ses_device_access_scored_num,ses_internet_quality_scored_num,ses_financial_constraint_scored_num,ses_index,conceptual_exposure_score,practical_ai_use_score,learning_ecology_score,language_load_score,epistemic_stance_score,ai_factor1_score,ai_factor2_score,ses_factor1_score,ses_factor2_score
prjqg25,5 : Bachelor's degree,5 : Bachelor's degree,"5 : HKD 50,000 or above",3 : International school,4 : Private Housing – Rented,3 : 3 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,1,0,0,1 : Never (0\%),0,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Often,4 : 4 = Very familiar,3 : 3 = Sometimes,3 : 3 = Sometimes,4 : 4 = Often,2 : 2 = Slightly available,1 : 1 = Never,2 : 2 = Rarely,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,5,5,5,3,4,3,5,1,1,1,0,2,4,4,4,2,4,4,4,3,4,4,4,3,3,4,2,1,2,3,3,4,2,4,2,3,4,4,4,4,4,3.5,3,3,4,0.7046675875820588,4.0,3.0,3.0,1.5,3.0,-0.4687840622119246,0.05840583072593382,0.5803880740618059,0.9566409375815509
ckwgt25,4 : Post-secondary education (non-degree),3 : Secondary education,"4 : HKD 32,000–49,999",2 : Direct Subsidy Scheme (DSS) school,2 : Subsidised Home Ownership Housing,3 : 3 people,3 : 400–599 square feet (37–56 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,2 : Rarely (around 1-33\%),0,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,2 : 2 = Disagree,3 : 3 = Not sure,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,5 : 5 = Strongly agree,1 : 1 = Never,2 : 2 = Slightly familiar,3 : 3 = Sometimes,4 : 4 = Often,3 : 3 = Sometimes,2 : 2 = Slightly available,2 : 2 = Rarely,2 : 2 = Rarely,3 : 3 = Moderately comfortable,5 : 5 = Very often,1111,4,3,4,2,2,3,3,1,1,2,0,2,4,4,2,2,3,2,5,2,5,1,2,3,4,3,2,2,2,3,5,4,2,4,4,4,4,2,3,5,5,3.7,3,3,3,-0.15533201082368495,1.5,3.5,2.5,2.0,4.0,0.34526061333217734,0.42123174400368046,-0.7207888779183678,-0.2171876552930439
nlbnm18,5 : Bachelor's degree,4 : Post-secondary education (non-degree),"5 : HKD 50,000 or above",3 : International school,3 : Private Housing – Owned,3 : 3 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,0,1,0,0,1 : Never (0\%),0,4 : 4 = Agree,5 : 5 = Strongly agree,4 : 4 = Agree,3 : 3 = Not sure,1 : 1 = Strongly disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Sometimes,2 : 2 = Slightly familiar,3 : 3 = Sometimes,4 : 4 = Often,2 : 2 = Rarely,2 : 2 = Slightly available,2 : 2 = Rarely,2 : 2 = Rarely,4 : 4 = Very comfortable,4 : 4 = Often,1111,5,4,5,3,3,3,4,1,2,1,0,4,5,4,3,1,4,2,4,2,4,3,2,3,4,2,2,2,2,4,4,2,2,5,4,4,5,3,4,4,4,3.7,3,2,4,0.21081916625162833,2.5,3.5,2.0,2.0,4.0,-0.12714828163375547,0.028251102799995053,0.15748252445751348,1.004090680434395
csrFeB07,3 : Secondary education,5 : Bachelor's degree,"4 : HKD 32,000–49,999",3 : International school,3 : Private Housing – Owned,4 : 4 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,1,0,0,2 : Rarely (around 1-33\%),1,2 : 2 = Disagree,4 : 4 = Agree,1 : 1 = Strongly disagree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,5 : 5 = Very often,5 : 5 = Extremely familiar,4 : 4 = Often,3 : 3 = Sometimes,3 : 3 = Sometimes,4 : 4 = Very available,4 : 4 = Often,3 : 3 = Sometimes,4 : 4 = Very comfortable,4 : 4 = Often,1111,3,5,4,3,3,4,5,1,1,2,1,2,4,1,4,4,4,4,4,3,4,5,5,4,3,3,4,4,3,4,4,4,5,2,2,3,4,4,4,4,4,3.6,3,3,3,0.18115617783919216,5.0,3.5,3.5,3.5,4.0,-0.14067981373076027,0.15553057192159225,-0.04147669104682264,0.3863698110242981
Tdsek02,3 : Secondary education,3 : Secondary education,"4 : HKD 32,000–49,999",1 : Government or Aided school,2 : Subsidised Home Ownership Housing,4 : 4 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,2 : Rarely (around 1-33\%),1,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Rarely,2 : 2 = Slightly familiar,2 : 2 = Rarely,2 : 2 = Rarely,3 : 3 = Sometimes,2 : 2 = Slightly available,3 : 3 = Sometimes,1 : 1 = Never,4 : 4 = Very comfortable,4 : 4 = Often,1111,3,3,4,1,2,4,4,1,1,2,1,4,4,4,4,2,4,2,5,2,5,2,2,2,2,3,2,3,1,4,4,2,2,4,4,4,4,4,4,5,5,3.8,3,3,3,-0.15742100874688675,2.0,2.0,2.5,2.0,4.0,-0.19455843346794083,0.8803067366891743,-1.0998532690753646,-0.3665459149730591
rvgad29,6 : Postgraduate degree,6 : Postgraduate degree,"4 : HKD 32,000–49,999",1 : Government or Aided school,4 : Private Housing – Rented,5 : 5 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,0,0,0,1,1 : Never (0\%),0,1 : 1 = Strongly disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Not sure,1 : 1 = Strongly disagree,4 : 4 = Agree,4 : 4 = Agree,1 : 1 = Strongly disagree,5 : 5 = Strongly agree,3 : 3 = Sometimes,3 : 3 = Moderately familiar,3 : 3 = Sometimes,3 : 3 = Sometimes,2 : 2 = Rarely,5 : 5 = Extremely available,1 : 1 = Never,1 : 1 = Never,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,6,6,4,1,4,5,4,1,1,1,0,1,4,2,4,3,1,4,4,1,5,3,3,3,3,2,5,1,1,3,3,5,4,3,2,5,4,4,1,4,5,3.7,3,3,4,0.6894035067505756,3.0,3.0,3.5,1.0,3.0,1.2137826022679814,0.4506239156709398,1.0879122336594755,0.10853915420722784
sgmoo09,3 : Secondary education,3 : Secondary education,"3 : HKD 14,800–31,999",1 : Government or Aided school,1 : Public Rental Housing (PRH),6 : 6 or more people,2 : 200–399 square feet (19–37 m$^2$),"1 : Yes, I had my own personal device.",2 : Generally stable but occasionally unreliable,1,0,0,1,2 : Rarely (around 1-33\%),0,3 : 3 = Not sure,4 : 4 = Agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,5 : 5 = Strongly agree,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Sometimes,2 : 2 = Slightly familiar,4 : 4 = Often,4 : 4 = Often,2 : 2 = Rarely,2 : 2 = Slightly available,3 : 3 = Sometimes,3 : 3 = Sometimes,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,3,3,3,1,1,6,2,1,2,2,0,3,4,4,4,2,4,4,5,4,4,3,2,4,4,2,2,3,3,3,4,3,2,4,2,2,4,4,4,5,4,3.4,3,2,3,-0.7822626605743521,2.5,4.0,2.0,3.0,3.5,-1.1009135112038908,0.40640239787820787,-1.2160930838575104,-1.2466002333861357
dybnm16,3 : Secondary education,3 : Secondary education,"3 : HKD 14,800–31,999",4 : Others,3 : Private Housing – Owned,3 : 3 people,5 : 800 square feet or above (74 m$^2$ or above),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,1,0,0,2 : Rarely (around 1-33\%),0,2 : 2 = Disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,1 : 1 = Strongly disagree,5 : 5 = Strongly agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Rarely,1 : 1 = Not at all familiar,3 : 3 = Sometimes,3 : 3 = Sometimes,2 : 2 = Rarely,2 : 2 = Slightly available,1 : 1 = Never,2 : 2 = Rarely,5 : 5 = Extremely comfortable,4 : 4 = Often,1111,3,3,3,4,3,3,5,1,1,2,0,2,5,2,3,2,4,1,5,2,4,2,1,3,3,2,2,1,2,5,4,4,4,4,5,4,5,3,4,5,4,4.2,3,3,3,-0.17360245318108555,1.5,3.0,2.0,1.5,4.5,0.6858130609579153,0.509899426208767,-1.05376242428237,-0.1383093636778596
sdbes18,3 : Secondary education,3 : Secondary education,"5 : HKD 50,000 or above",3 : International school,3 : Private Housing – Owned,3 : 3 people,4 : 600–799 square feet (56–74 m$^2$),"1 : Yes, I had my own personal device.",1 : Stable and high-speed,1,0,0,0,1 : Never (0\%),0,4 : 4 = Agree,4 : 4 = Agree,3 : 3 = Not sure,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,5 : 5 = Strongly agree,4 : 4 = Agree,4 : 4 = Agree,2 : 2 = Rarely,2 : 2 = Slightly familiar,4 : 4 = Often,5 : 5 = Very often,4 : 4 = Often,5 : 5 = Extremely available,1 : 1 = Never,1 : 1 = Never,3 : 3 = Moderately comfortable,4 : 4 = Often,1111,3,3,5,3,3,3,4,1,1,1,0,4,4,3,4,2,4,2,5,4,4,2,2,4,5,4,5,1,1,3,4,2,3,4,4,2,4,4,4,5,4,3.6,3,3,4,0.13463210166487588,2.0,4.5,4.5,1.0,3.5,-0.8637812503453218,0.2614517661687535,-0.8949158107258378,0.8773398970363969
entia06,5 : Bachelor's degree,5 : Bachelor's degree,"3 : HKD 14,800–31,999",3 : International school,1 : Public Rental Housing (PRH),5 : 5 people,4 : 600–799 square feet (56–74 m$^2$),"2 : Yes, but I shared it with family members.",2 : Generally stable but occasionally unreliable,0,0,0,1,2 : Rarely (around 1-33\%),1,4 : 4 = Agree,3 : 3 = Not sure,2 : 2 = Disagree,4 : 4 = Agree,2 : 2 = Disagree,4 : 4 = Agree,4 : 4 = Agree,5 : 5 = Strongly agree,2 : 2 = Disagree,4 : 4 = Agree,3 : 3 = Sometimes,1 : 1 = Not at all familiar,2 : 2 = Rarely,2 : 2 = Rarely,1 : 1 = Never,2 : 2 = Slightly available,1 : 1 = Never,1 : 1 = Never,3 : 3 = Moderately comfortable,3 : 3 = Sometimes,1111,5,5,3,3,1,5,4,2,2,2,1,4,3,2,4,2,4,4,5,2,4,3,1,2,2,1,2,1,1,3,3,2,4,4,2,4,3,4,4,5,4,3.6,2,2,3,-0.4587405733403669,2.0,2.0,1.5,1.0,3.0,-0.1501948577878983,0.3678812406463544,0.44214170597189706,-0.6046483881488244
