sample,ses_dimension,mediator,outcome,n,a_path,a_p,b_path,b_p,c_total,c_total_p,c_prime,c_prime_p,indirect_ab,direct_plus_indirect_check,r2_mediator_model,r2_outcome_model,indirect_boot_mean,indirect_ci_low_95,indirect_ci_high_95,prop_ab_positive,p_indirect_boot
Combined,SES Factor 1,Conceptual exposure,AI conceptual understanding,141,0.1785412923912483,0.030738127336493268,-0.00202879972452041,0.9825189852896354,0.10787452053189059,0.204698561954186,0.1082367450567095,0.20850057166028135,-0.00036222452481888255,0.10787452053189062,0.03187699308873715,0.011640897001701012,0.0003278211140907343,-0.03561299942274224,0.040632096755270596,0.49933333333333335,0.9986666666666667
Combined,SES Factor 1,Conceptual exposure,AI ability/confidence,141,0.1785412923912483,0.030738127336493268,0.011747750256526086,0.9339446072884823,0.06357453518106804,0.4619955752523315,0.061477076667578276,0.43102960985700456,0.0020974585134897862,0.06357453518106806,0.03187699308873715,0.004175331827363182,0.0028803392925753914,-0.049189129123846195,0.06410278918584786,0.516,0.968
Combined,SES Factor 1,Practical AI use,AI conceptual understanding,141,0.13405404812351787,0.13475556121987714,0.024333508472057827,0.805110222721616,0.10787452053189059,0.204698561954186,0.10461251521616334,0.2245089926074717,0.00326200531572727,0.10787452053189062,0.017970487818302683,0.012218391135864426,0.0010733746792453462,-0.03314056035345088,0.032350011176110686,0.5503333333333333,0.8993333333333333
Combined,SES Factor 1,Practical AI use,AI ability/confidence,141,0.13405404812351787,0.13475556121987714,0.21323840796137666,0.07263490815443346,0.06357453518106804,0.4619955752523315,0.034989063378431294,0.6590650926939139,0.028585471802636722,0.06357453518106801,0.017970487818302683,0.04869521095521201,0.02922429472305614,-0.005227018914776714,0.09789829504763116,0.927,0.1459999999999999
Combined,SES Factor 1,Learning ecology,AI conceptual understanding,141,0.24220301731068633,0.002832659058606518,0.07279949075999857,0.47530356819168285,0.10787452053189059,0.204698561954186,0.0902422642111376,0.3184466589236572,0.017632256320753083,0.10787452053189067,0.058662301594400335,0.016625781571939946,0.017222191748377042,-0.03136787114013788,0.07375553999014424,0.776,0.44799999999999995
Combined,SES Factor 1,Learning ecology,AI ability/confidence,141,0.24220301731068633,0.002832659058606518,0.15656683563604168,0.24403048838008012,0.06357453518106804,0.4619955752523315,0.025653575179232467,0.754696800221953,0.037920960001835584,0.06357453518106805,0.058662301594400335,0.027116896337111784,0.03971732176842745,-0.01865371259004814,0.12591704033198486,0.8943333333333333,0.21133333333333337
Combined,SES Factor 1,Language load,AI conceptual understanding,141,-0.12781928456102645,0.14061026034544388,-0.3205256573553895,0.0005022726260854192,0.10787452053189059,0.204698561954186,0.06690516032527205,0.40664588164451376,0.040969360206618594,0.10787452053189064,0.016337769505692656,0.1126951207273501,0.040829461404386674,-0.015222730556839512,0.10667361143622053,0.93,0.1399999999999999
Combined,SES Factor 1,Language load,AI ability/confidence,141,-0.12781928456102645,0.14061026034544388,-0.18720051045815483,0.1215767943317504,0.06357453518106804,0.4619955752523315,0.03964669986484774,0.6762599392671418,0.0239278353162203,0.06357453518106804,0.016337769505692656,0.03851321133636254,0.022733517190755625,-0.012025701254436113,0.07710607297647284,0.8793333333333333,0.2413333333333334
Combined,SES Factor 1,Epistemic stance,AI conceptual understanding,141,0.040958978420221004,0.6431352242716786,0.28359167552987236,0.008862974220292346,0.10787452053189059,0.204698561954186,0.09625889521370817,0.23572774541650565,0.011615625318182358,0.10787452053189053,0.0016776379132282804,0.09192622785829319,0.010471821184149091,-0.042858534525138006,0.06294988501438435,0.686,0.6279999999999999
Combined,SES Factor 1,Epistemic stance,AI ability/confidence,141,0.040958978420221004,0.6431352242716786,0.24938308444901527,0.10423730939365664,0.06357453518106804,0.4619955752523315,0.05336005880675259,0.5194914637262296,0.010214476374315369,0.06357453518106795,0.0016776379132282804,0.06612930880519241,0.010935409322545865,-0.037800292549882666,0.07246503579209233,0.6613333333333333,0.6773333333333333
